-0.57,-0.2,9.09,-0.11667,-0.22111,-0.096667
-0.61,-0.32,9.07,-0.11778,-0.3,-0.081111
-0.75,0.06,9.89,-0.067778,-0.40778,-0.044444
-0.99,0.06,9.89,-0.078889,-0.42222,-0.036667
-0.72,0.05,10.35,-0.078889,-0.42222,-0.036667
-0.88,0.19,9.85,-0.08,-0.37111,-0.041111
-0.77,-0.17,10.05,-0.11778,-0.22444,-0.043333
-0.64,-0.34,9.89,-0.11778,-0.2,-0.027778
-0.64,-0.34,9.89,-0.11778,-0.19667,0
-0.5,-0.34,9.68,-0.078889,-0.19667,0
-0.7,-0.22,9.77,-0.046667,-0.19,0.024444
-0.55,-0.28,10.39,-0.02,-0.15667,0.038889
-0.66,0.4,9.67,0.0066667,-0.077778,0.053333
-0.66,0.03,10.16,0.022222,-0.0033333,0.041111
-0.43,0.03,10.16,0.022222,-0.0033333,0.041111
-0.57,-0.08,9.89,0.035556,0.072222,0.037778
-0.45,-0.38,9.73,0.038889,0.10778,0.052222
-0.4,-0.23,9.74,0.10889,0.10333,0.11778
-0.4,-0.23,9.58,0.12111,0.11,0.13
-0.64,0.09,9.58,0.12111,0.11,0.13
-0.58,0.37,10.16,0.11889,0.12111,0.11667
-0.64,0.45,9.71,0.11111,0.14,0.09
-0.55,0.04,9.43,0.095556,0.14444,0.016667
-0.55,-0.06,9.39,0.09,0.11444,-0.0077778
-0.45,-0.06,9.39,0.09,0.11444,-0.0077778
-0.59,-0.19,9.12,0.091111,0.076667,-0.015556
-0.53,-0.31,9.34,0.081111,0.016667,-0.014444
-0.61,0.16,9.44,0.056667,-0.027778,-0.016667
-0.63,-0.44,9.5,0.014444,-0.023333,-0.024444
-0.63,-0.44,9.5,0.014444,-0.023333,-0.024444
-0.44,-0.26,10.17,0.0077778,0.016667,-0.034444
-0.42,-0.23,9.59,0.013333,0.0022222,-0.032222
-0.35,-0.12,9.39,0.028889,-0.028889,-0.021111
-0.49,0,9.42,0.067778,-0.031111,-0.016667
-0.49,0,9.42,0.067778,-0.031111,-0.013333
-0.39,0.05,10.12,0.064444,-0.043333,-0.013333
-0.63,0.22,9.75,0.042222,-0.025556,-0.014444
-0.38,0.33,9.62,-0.0033333,0.042222,-0.034444
-0.41,0.26,9.46,-0.016667,0.054444,-0.042222
-0.41,0.26,9.46,-0.016667,0.054444,-0.042222
-0.43,0.12,9.5,-0.017778,0.045556,-0.047778
-0.51,0.14,9.11,-0.0033333,0.026667,-0.044444
-0.52,0.04,9.12,0.0088889,-0.035556,-0.034444
-0.49,0.18,9.61,-0.0011111,-0.054444,-0.03
-0.49,0.18,9.61,-0.0011111,-0.054444,-0.03
-0.57,0.3,9.68,-0.023333,-0.035556,-0.03
-0.43,0.28,9.8,-0.071111,-0.011111,-0.035556
